epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3492,1.27197,2.06813,1.58234,0.71611,0.67613,0.74844,0.43965,1.24007,1.88244,1.59982,0.000552417,0.000552417,0.000552417
2,36.7181,1.35164,1.55665,1.60559,0.70634,0.70284,0.75034,0.44458,1.33676,1.62912,1.7806,0.00109711,0.00109711,0.00109711
3,52.8858,1.41907,1.54541,1.66889,0.76967,0.7379,0.81937,0.52477,1.25002,1.22227,1.5946,0.00163081,0.00163081,0.00163081
4,68.3102,1.38315,1.36231,1.61521,0.7681,0.7596,0.80991,0.47949,1.36309,1.34461,1.70261,0.00161749,0.00161749,0.00161749
5,84.1547,1.32845,1.27959,1.57633,0.72632,0.70618,0.76047,0.45218,1.37347,1.11031,1.74654,0.00160099,0.00160099,0.00160099
6,99.8128,1.2782,1.18847,1.53611,0.65729,0.51085,0.5711,0.3705,1.40834,2.08064,1.73558,0.00158448,0.00158448,0.00158448
7,115.505,1.22367,1.15138,1.4963,0.84528,0.79299,0.86942,0.58881,1.17972,0.88627,1.52013,0.00156798,0.00156798,0.00156798
8,130.658,1.19087,1.06091,1.48207,0.77682,0.67985,0.80476,0.50942,1.25131,1.28009,1.55142,0.00155148,0.00155148,0.00155148
9,146.058,1.18122,1.05266,1.46995,0.8203,0.81636,0.88772,0.59144,1.14975,0.90749,1.47939,0.00153497,0.00153497,0.00153497
10,161.2,1.14695,1.00727,1.45002,0.83436,0.84091,0.8974,0.62222,1.09356,1.0593,1.48185,0.00151847,0.00151847,0.00151847
11,176.723,1.14578,0.98514,1.44683,0.83684,0.83055,0.89165,0.59628,1.16229,0.90824,1.45717,0.00150197,0.00150197,0.00150197
12,192.783,1.08842,0.94774,1.40656,0.82418,0.89211,0.92323,0.62111,1.17348,0.92021,1.51932,0.00148546,0.00148546,0.00148546
13,208.556,1.09238,0.91879,1.39463,0.82158,0.84564,0.89575,0.64139,1.02306,1.00487,1.38637,0.00146896,0.00146896,0.00146896
14,224.223,1.08697,0.92799,1.3971,0.81916,0.85453,0.90121,0.64572,0.99175,1.08213,1.37171,0.00145246,0.00145246,0.00145246
15,239.405,1.06458,0.89196,1.38685,0.7976,0.86477,0.89364,0.60178,1.12564,0.94219,1.41804,0.00143595,0.00143595,0.00143595
16,254.712,1.0638,0.88637,1.37974,0.85986,0.89649,0.94022,0.63027,1.0989,0.66301,1.39122,0.00141945,0.00141945,0.00141945
17,270.323,1.01754,0.83835,1.34656,0.83594,0.77407,0.86467,0.61743,1.0586,1.02388,1.43297,0.00140295,0.00140295,0.00140295
