epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.399,0.90749,10.1473,0.69318,0.78475,1.37581,0.92659,0.96346,0.9692,0.76429,0.00912,0.01057,0.00169,0.00024,0.78394,8.28239,0.63403,0.51161,1.366,0.00332547,0.00332547,0.00332547
2,357.058,0.87713,8.50819,0.61462,0.66299,1.34228,0.90611,0.93071,0.95552,0.72106,0.06898,0.07692,0.0132,0.00175,0.88223,7.15594,0.59167,0.58337,1.44041,0.00659288,0.00659288,0.00659288
3,518.48,0.97626,8.08114,0.57207,0.76029,1.40972,0.79371,0.82689,0.85992,0.53188,0.05944,0.05461,0.01381,0.00215,1.25175,7.79679,0.57982,0.92745,1.91072,0.00979429,0.00979429,0.00979429
4,564.572,1.04995,7.77069,0.54769,0.83336,1.46819,0.85727,0.87317,0.91094,0.61038,0.1597,0.13388,0.03626,0.00578,1.08361,6.75929,0.55352,0.85822,1.69499,0.009703,0.009703,0.009703
5,609.923,1.03466,7.45104,0.52881,0.81545,1.44379,0.88778,0.91053,0.94506,0.67614,0.28287,0.2108,0.10919,0.0178,0.9582,6.27915,0.55265,0.6852,1.53976,0.009604,0.009604,0.009604
6,655.605,0.99786,7.2075,0.51415,0.78482,1.41496,0.91069,0.92836,0.95432,0.69641,0.29319,0.26307,0.1272,0.021,0.9491,6.06428,0.53,0.6022,1.54084,0.009505,0.009505,0.009505
7,700.71,0.98064,6.99038,0.49949,0.76002,1.40093,0.91621,0.93106,0.96101,0.73125,0.37263,0.34645,0.19465,0.03433,0.85395,5.61081,0.52689,0.58888,1.45046,0.009406,0.009406,0.009406
8,746.605,0.94844,6.79272,0.48663,0.73063,1.37764,0.89768,0.9273,0.95431,0.7115,0.42739,0.38579,0.25864,0.05137,0.89332,5.50573,0.5236,0.58549,1.4967,0.009307,0.009307,0.009307
9,791.714,0.9308,6.68649,0.47786,0.71359,1.362,0.91931,0.9448,0.9577,0.72393,0.44997,0.40928,0.26341,0.05082,0.86271,5.3926,0.5038,0.55866,1.43963,0.009208,0.009208,0.009208
10,836.168,0.91451,6.59822,0.46574,0.70536,1.35339,0.92078,0.93505,0.96519,0.75428,0.49747,0.4586,0.33672,0.06744,0.81032,5.25264,0.48315,0.52746,1.39315,0.009109,0.009109,0.009109
